date,team_a,score,team_b,place
20 September 2019,Japan,30–10,Russia,"Tokyo Stadium, Chōfu"
22 September 2019,Ireland,27–3,Scotland,"International Stadium Yokohama, Yokohama"
24 September 2019,Russia,9–34,Samoa,"Kumagaya Rugby Stadium, Kumagaya"
28 September 2019,Japan,19–12,Ireland,"Shizuoka Stadium Ecopa, Fukuroi"
30 September 2019,Scotland,34–0,Samoa,"Kobe Misaki Stadium, Kobe"
3 October 2019,Ireland,35–0,Russia,"Kobe Misaki Stadium, Kobe"
5 October 2019,Japan,38–19,Samoa,"City of Toyota Stadium, Toyota"
9 October 2019,Scotland,v,Russia,"Shizuoka Stadium Ecopa, Fukuroi"
12 October 2019,Ireland,v,Samoa,"Fukuoka Hakatanomori Stadium, Fukuoka"
13 October 2019,Japan,v,Scotland,"International Stadium Yokohama, Yokohama"
